title,summary,url,source,publication_date
"No govt counsel, SC hearing on NEET-PG deferred to October 4","Gandhi Jayanti 2024: 10 Books by Mahatma Gandhi Every Student Should Read 10 Techniques to Boost Memory and Learning Speed for Students Who is Parita Parekh, youngest Indian entrepreneur and a Stanford alumna",https://timesofindia.indiatimes.com/education/news/neet-pg-supreme-court-hearing-deferred-due-to-absence-of-government-counsel-new-hearing-likely-on-october-4/articleshow/113817853.cms,Times of India,2024-09-30
How hackers are ‘using’ Apple and Microsoft to scam people online,"The TOI Tech Desk is a dedicated team of journalists committed to delivering the latest and most relevant news from the world of technology to readers of The Times of India. TOI Tech Desk’s news coverage spans a wide spectrum across gadget launches, gadget reviews, trends, in-depth analysis, exclusive reports and breaking stories that impact technology and the digital universe. Be it how-tos or the latest happenings in AI, cybersecurity, personal gadgets, platforms like WhatsApp, Instagram, Facebook and more; TOI Tech Desk brings the news with accuracy and authenticity.Read More",https://timesofindia.indiatimes.com/technology/tech-news/how-hackers-are-using-apple-and-microsoft-to-scam-people-online/articleshow/113814278.cms,Times of India,2024-09-30
Amazon Sale: Gaming Laptops At Up To 50% Discount & Additional Exchange Offers,"Aarohy is a copywriting and lifestyle journalist and has written compelling product reviews on products from tech, sports, health, food, pets and more. With a keen eye for detail, she understands the features of various products across categories which helps her write authentic reviews and detailed explanations for users to make the right buying decision. Her analytical skills help her compare multiple products and pick the best for her readers. A former book author, she pioneered the art of writing sales and deals content. She is a Yoga enthusiast and a hard-core animal lover.Read More",https://timesofindia.indiatimes.com/hot-picks/electronics-accessories/amazon-sale-gaming-laptops-at-up-to-50-discount-additional-exchange-offers/articleshow/113815297.cms,Times of India,2024-09-30
'My life back on track': Dalit student thanks SC for 'extraordinary' relief,"The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide. With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports on a wide range of topics. The TOI News Desk is your trusted source for staying informed and connected to the ever-evolving global landscape, ensuring that our readers are equipped with the latest developments that matter most.""Read More 8 fruits and veggies that can help get rid of eye glasses 10 green vegetables that have highest protein content",https://timesofindia.indiatimes.com/india/all-the-best-sc-orders-iit-dhanbad-to-admit-dalit-youth-who-lost-seat-over-rs-17k-fees-atul-kumar-supreme-court/articleshow/113815376.cms,Times of India,2024-09-30
ED books K'taka CM in money-laundering case linked to Muda 'scam',"The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide. With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports on a wide range of topics. The TOI News Desk is your trusted source for staying informed and connected to the ever-evolving global landscape, ensuring that our readers are equipped with the latest developments that matter most.""Read More 8 fruits and veggies that can help get rid of eye glasses 10 green vegetables that have highest protein content",https://timesofindia.indiatimes.com/india/karnataka-cm-siddaramaiah-booked-in-muda-linked-money-laundering-case-by-ed/articleshow/113820145.cms,Times of India,2024-09-30
Govt notifies latest post office schemes interest rates - check list,"The TOI Business Desk is a vigilant and dedicated team of journalists committed to delivering the latest and most relevant business news from around the world to readers of The Times of India. The primary focus of the TOI Business Desk is to keep a watchful eye on the global business landscape, covering a wide spectrum of industries, markets, economic trends, in-depth analysis, exclusive reports and breaking stories that impact businesses and economies. With a mission to provide valuable insights and updates, the desk ensures that TOI readers are well-informed about the ever-changing and dynamic world of commerce and can navigate the complexities of the business world.Read More 10 Most Affordable Cities in India to Buy a House The Pros and Cons of Investing in Value Stocks",https://timesofindia.indiatimes.com/business/india-business/post-office-small-savings-schemes-latest-interest-rates-october-december-2024-ppf-ssy-scss-nsc-kisan-vikas-details/articleshow/113804507.cms,Times of India,2024-09-30
"2nd Test, Day 4: India's batting lights up rain-hit B'desh clash","2nd Test, Day 1: B'desh 107/3 vs India on rain-shortened opening day Ashwin shines as India hammer Bangladesh in Chennai Test 1st Test, Day 3: India hold upper hand despite spirited Bangladesh chase",https://timesofindia.indiatimes.com/sports/cricket/bangladesh-in-india/2nd-test-day-4-highlights-records-tumble-as-indias-batting-lights-up-rain-hit-bangladesh-clash/articleshow/113819409.cms,Times of India,2024-09-30
'Pension will go into pocket of ...': Rahul sharpens attack against Agnipath scheme,"The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide. With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports on a wide range of topics. The TOI News Desk is your trusted source for staying informed and connected to the ever-evolving global landscape, ensuring that our readers are equipped with the latest developments that matter most.""Read More 8 fruits and veggies that can help get rid of eye glasses 10 green vegetables that have highest protein content",https://timesofindia.indiatimes.com/india/agniveer-to-snatch-pensions-rahul-gandhi-says-govt-wants-to-benefit-adani/articleshow/113816190.cms,Times of India,2024-09-30
Tata to build DRDO-developed armoured vehicles for Morocco armed forces,"The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide. With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports on a wide range of topics. The TOI News Desk is your trusted source for staying informed and connected to the ever-evolving global landscape, ensuring that our readers are equipped with the latest developments that matter most.""Read More 8 fruits and veggies that can help get rid of eye glasses 10 green vegetables that have highest protein content",https://timesofindia.indiatimes.com/india/tata-to-build-drdo-developed-armoured-vehicles-for-morocco-armed-forces/articleshow/113816744.cms,Times of India,2024-09-30
French footballer Kylian Mbappe has invested in this electronics company,"The TOI Tech Desk is a dedicated team of journalists committed to delivering the latest and most relevant news from the world of technology to readers of The Times of India. TOI Tech Desk’s news coverage spans a wide spectrum across gadget launches, gadget reviews, trends, in-depth analysis, exclusive reports and breaking stories that impact technology and the digital universe. Be it how-tos or the latest happenings in AI, cybersecurity, personal gadgets, platforms like WhatsApp, Instagram, Facebook and more; TOI Tech Desk brings the news with accuracy and authenticity.Read More",https://timesofindia.indiatimes.com/technology/tech-news/french-footballer-kylian-mbappe-has-invested-in-this-electronics-company/articleshow/113817927.cms,Times of India,2024-09-30
"California governor vetoes AI bill: What it means for Google, Microsoft, Meta, OpenAI and other tech giants","The TOI Tech Desk is a dedicated team of journalists committed to delivering the latest and most relevant news from the world of technology to readers of The Times of India. TOI Tech Desk’s news coverage spans a wide spectrum across gadget launches, gadget reviews, trends, in-depth analysis, exclusive reports and breaking stories that impact technology and the digital universe. Be it how-tos or the latest happenings in AI, cybersecurity, personal gadgets, platforms like WhatsApp, Instagram, Facebook and more; TOI Tech Desk brings the news with accuracy and authenticity.Read More Xiaomi Redmi Note 13R Pro 5G ₹23,690",https://timesofindia.indiatimes.com/technology/tech-news/california-governor-vetoes-ai-bill-what-it-means-for-google-microsoft-meta-openai-and-other-tech-giants/articleshow/113817513.cms,Times of India,2024-09-30
Time to Level Up: Discover the Never Seen Before deals on Gimbal and Lens!,"Tarun is a young and passionate writer who is now merging his love for consumable products, like automotive goods, gaming and electronic appliances, with careful detailing while producing brilliant and exquisite product reviews. In his short career so far, he has churned out as much as half a million words and has a keen eye for technological innovations. He covers events and affiliate content, including all things automotive, gaming, tools and wireless accessories since 2022. A longtime sports enthusiast, Tarun spends his off-hours on the ground knocking the cricket ball around with a bunch of friends.Read More",https://timesofindia.indiatimes.com/hot-picks/electronics-accessories/time-to-level-up-discover-the-never-seen-before-deals-on-gimbal-and-lens/articleshow/113821836.cms,Times of India,2024-09-30
Dyson's New Range of Heat-Free Stylers at Lowest-Ever Prices: Use 400 SuperCoins and get Extra Rs. 5000/- Off,"Dimple is a Content Consultant at TOI writing thoroughly researched Lifestyle articles with expertise in beauty, fashion, and gadgets. Apart from these categories, she also writes for home decor, electronics, jewellery, and health. She inscribes quality content that matches her reader's interests and aims. She blends her passion for writing to inspire readers to make informed decisions by carefully curating the finest products for them. She graduated from the Indian Institute of Mass Communication with a degree in English Journalism. She can be found doing trials with cooking or immersing herself in suspense thriller shows when not writing.Read More",https://timesofindia.indiatimes.com/hot-picks/health-beauty/dysons-new-range-of-heat-free-stylers-at-lowest-ever-prices-use-400-supercoins-and-get-extra-rs-5000/-off/articleshow/113821223.cms,Times of India,2024-09-30
"NEET PG Supreme Court hearing deferred due to absence of Government Counsel, new hearing likely on October 4","Gandhi Jayanti 2024: 10 Books by Mahatma Gandhi Every Student Should Read 10 Techniques to Boost Memory and Learning Speed for Students Who is Parita Parekh, youngest Indian entrepreneur and a Stanford alumna",https://timesofindia.indiatimes.com/education/news/neet-pg-supreme-court-hearing-deferred-due-to-absence-of-government-counsel-new-hearing-likely-on-october-4/articleshow/113817853.cms,Times of India,2024-09-30
Work-Life Balance at Alphabet Inc.: 7 Policies That Support Employee Well-Being,"10 Techniques to Boost Memory and Learning Speed for Students Who is Parita Parekh, youngest Indian entrepreneur and a Stanford alumna 10 AI-Powered Apps Every Student Should Use: From Grammarly to Duolingo",https://timesofindia.indiatimes.com/education/news/work-life-balance-at-alphabet-inc-7-policies-that-support-employee-well-being/articleshow/113815475.cms,Times of India,2024-09-30
Om Puri's wife slams controversial claims in his book,"Preeti Jhangiani Talks About Pravin Dabas' Condition: 'We’re still coping with it emotionally' The TOI Entertainment Desk is a dynamic and dedicated team of journalists, working tirelessly to bring the pulse of the entertainment world straight to the readers of The Times of India. No red carpet goes unrolled, no stage goes dark - our team spans the globe, bringing you the latest scoops and insider insights from Bollywood to Hollywood, and every entertainment hotspot in between. We don't just report; we tell tales of stardom and stories untold. Whether it's the rise of a new sensation or the seasoned journey of an industry veteran, the TOI Entertainment Desk is your front-row seat to the fascinating narratives that shape the entertainment landscape. Beyond the breaking news, we present a celebration of culture. We explore the intersections of entertainment with society, politics, and everyday life.Read More Aishwarya Rai to Ananya Panday: Celebs who didn't dress to impress at Abu Dhabi",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/nandita-puri-slams-controversial-claims-in-om-puris-autobiography/articleshow/113822213.cms,Times of India,2024-09-30
Sobhita to introduce her co-star as Avengers,"Aishwarya Rai Bachchan & Aaradhya Shine In Abu Dhabi: Why Are Fans So Anxious? The TOI Entertainment Desk is a dynamic and dedicated team of journalists, working tirelessly to bring the pulse of the entertainment world straight to the readers of The Times of India. No red carpet goes unrolled, no stage goes dark - our team spans the globe, bringing you the latest scoops and insider insights from Bollywood to Hollywood, and every entertainment hotspot in between. We don't just report; we tell tales of stardom and stories untold. Whether it's the rise of a new sensation or the seasoned journey of an industry veteran, the TOI Entertainment Desk is your front-row seat to the fascinating narratives that shape the entertainment landscape. Beyond the breaking news, we present a celebration of culture. We explore the intersections of entertainment with society, politics, and everyday life.Read More 10 baby girl names that sound royal",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/sobhita-dhulipala-says-this-is-how-she-is-going-to-introduce-her-ponniyin-selvan-co-stars-aishwarya-rai-jayam-ravi-and-karthi-to-her-kids/articleshow/113821675.cms,Times of India,2024-09-30
Alia exudes elegance on the sets of Kareena's show,"The TOI Entertainment Desk is a dynamic and dedicated team of journalists, working tirelessly to bring the pulse of the entertainment world straight to the readers of The Times of India. No red carpet goes unrolled, no stage goes dark - our team spans the globe, bringing you the latest scoops and insider insights from Bollywood to Hollywood, and every entertainment hotspot in between. We don't just report; we tell tales of stardom and stories untold. Whether it's the rise of a new sensation or the seasoned journey of an industry veteran, the TOI Entertainment Desk is your front-row seat to the fascinating narratives that shape the entertainment landscape. Beyond the breaking news, we present a celebration of culture. We explore the intersections of entertainment with society, politics, and everyday life.Read More ​10 dog cross breeds that are super cute​ 10 most beautiful railway stations of India",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/watch-alia-bhatt-exudes-elegance-as-shes-all-set-to-join-kareena-kapoor-on-her-show/articleshow/113820579.cms,Times of India,2024-09-30
Then and Now: Vicky's pic with SRK goes viral,"Karan Johar Trolled For Touching Shah Rukh Khan's Feet The TOI Entertainment Desk is a dynamic and dedicated team of journalists, working tirelessly to bring the pulse of the entertainment world straight to the readers of The Times of India. No red carpet goes unrolled, no stage goes dark - our team spans the globe, bringing you the latest scoops and insider insights from Bollywood to Hollywood, and every entertainment hotspot in between. We don't just report; we tell tales of stardom and stories untold. Whether it's the rise of a new sensation or the seasoned journey of an industry veteran, the TOI Entertainment Desk is your front-row seat to the fascinating narratives that shape the entertainment landscape. Beyond the breaking news, we present a celebration of culture. We explore the intersections of entertainment with society, politics, and everyday life.Read More 10 delicious Indian dishes that can be made with raw banana",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/then-and-now-vicky-kaushals-childhood-photo-with-shah-rukh-khan-on-asoka-sets-goes-viral/articleshow/113818040.cms,Times of India,2024-09-30
Laughter Chefs: Top moments from the the recent episode,"Comedy-cooking show Laughter Chefs is coming to an end with the last episode airing on next week. The episode was filled with many hilarious and some emotional moments. The stars Jannat Zubair, Bharti Singh and others broke down emotionally as the show is going to end soon. Here’s a look at the top moments from the recent episode:- As Laughter Chefs is all set to wrap up soon, the stars—Aly Goni, Bharti Singh, Jannat Zubair, Nia Sharma, Krishna Abhishek, and others—gathered to watch a video clip featuring some of the most hilarious and heartfelt moments from the show. The montage stirred up deep emotions among the cast, reminding them of the fun and camaraderie they had shared throughout their journey. The emotional farewell led to warm hugs as they expressed how much they would miss shooting together. During the preparation of the special dish Khao Soi under the guidance of Chef Harpal Singh, Rahul unintentionally caused a kitchen mishap. While trying to follow the recipe, he accidentally poured oil into a pot of boiling water, which led to a sudden fire on the stove. The unexpected flare-up startled everyone on set, causing a brief moment of chaos. However, the situation was quickly brought under control, with laughter soon replacing the panic as the crew joked about Rahul's fiery cooking skills.",https://timesofindia.indiatimes.com/tv/news/hindi/laughter-chefs-from-bharti-singh-krushna-abhishek-getting-emotional-to-nia-sharma-getting-teary-eyed-on-missing-sudesh-lehri-top-moments-from-the-last-episode/photostory/113813671.cms,Times of India,2024-09-30
Will Ranbir play a cameo in Prabhas' Spirit?,"The TOI Entertainment Desk is a dynamic and dedicated team of journalists, working tirelessly to bring the pulse of the entertainment world straight to the readers of The Times of India. No red carpet goes unrolled, no stage goes dark - our team spans the globe, bringing you the latest scoops and insider insights from Bollywood to Hollywood, and every entertainment hotspot in between. We don't just report; we tell tales of stardom and stories untold. Whether it's the rise of a new sensation or the seasoned journey of an industry veteran, the TOI Entertainment Desk is your front-row seat to the fascinating narratives that shape the entertainment landscape. Beyond the breaking news, we present a celebration of culture. We explore the intersections of entertainment with society, politics, and everyday life.Read More ​10 dog cross breeds that are super cute​ 10 most beautiful railway stations of India",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/will-ranbir-kapoor-play-a-cameo-in-prabhas-spirit-heres-what-we-know/articleshow/113820406.cms,Times of India,2024-09-30
03:44'E-mails At 5 AM': Meghan Markle's Staff Share Other Side Of The 'Dictator' Story,Meghan Markle Called a DICTATOR in Heels? Explosive Claims Stirs the Internet | Watch Records tumble for Kamindu Mendis 'Won't Talk To You': Putin Aide Lavrov 'Humiliates' Blinken; Refuses Meeting With Top U.S. Diplomat,https://timesofindia.indiatimes.com/videos/entertainment/english/e-mails-at-5am-meghan-markles-staff-share-other-side-of-the-dictator-story/videoshow/113818972.cms,Times of India,2024-09-30
03:44'E-mails At 5 AM': Meghan Markle's Staff Share Other Side Of The 'Dictator' Story,Meghan Markle Called a DICTATOR in Heels? Explosive Claims Stirs the Internet | Watch Records tumble for Kamindu Mendis 'Won't Talk To You': Putin Aide Lavrov 'Humiliates' Blinken; Refuses Meeting With Top U.S. Diplomat,https://timesofindia.indiatimes.com/videos/entertainment/english/e-mails-at-5am-meghan-markles-staff-share-other-side-of-the-dictator-story/videoshow/113818972.cms,Times of India,2024-09-30
Campaign for J&K’s final phase ends,​10 spotted animals and their distinct markings​ 8 habits to train your brain for peace and happiness 10 brain-boosting activities based on ancient Indian traditions,https://timesofindia.indiatimes.com/city/jammu/campaign-for-jks-final-phase-ends/articleshow/113793343.cms,Times of India,2024-09-30
"J&K polls: 23 govt officials suspended, 6 ad hoc employees disengaged from services for MCC violations",8 fruits and veggies that can help get rid of eye glasses 10 green vegetables that have highest protein content The 8 perfect steps to grow ‘Dhaniya’ in the kitchen garden,https://timesofindia.indiatimes.com/india/jk-polls-23-govt-officials-suspended-6-ad-hoc-employees-disengaged-from-services-for-mcc-violations/articleshow/113791703.cms,Times of India,2024-09-30
WWE,"Matt Cardona reflects on his 20-year wrestling career, including his success on the independent circuit and potential return to a major promotion. Contemplating a future in WWE or AEW, Cardona emphasizes his ambition to win the WWE World Title, despite past highs and lows. Pat McAfee, known for his dynamic sports media presence, is set to join the NFL Network's 'GameDay Morning' starting October 27th. This role adds to his notable work with ESPN's 'College GameDay' and 'The Pat McAfee Show,' further establishing him as a prominent sports personality.",https://timesofindia.indiatimes.com/sports/wwe,Times of India,2024-09-30
NFL," Copyright © 2024 Bennett, Coleman & Co. Ltd. All rights reserved. For reprint rights: Times Syndication Service",https://timesofindia.indiatimes.com/sports/nfl,Times of India,2024-09-30
Pro-Khalistan preacher Amritpal Singh's backers to form political party,8 fruits and veggies that can help get rid of eye glasses 10 green vegetables that have highest protein content The 8 perfect steps to grow ‘Dhaniya’ in the kitchen garden,https://timesofindia.indiatimes.com/city/amritsar/pro-khalistani-preacher-amritpals-backers-to-form-political-party/articleshow/113807149.cms,Times of India,2024-09-30
"Man beaten in Australia, father extorted in Gujarat's Thaltej",8 fruits and veggies that can help get rid of eye glasses 10 green vegetables that have highest protein content The 8 perfect steps to grow ‘Dhaniya’ in the kitchen garden,https://timesofindia.indiatimes.com/city/ahmedabad/indian-farmer-extorted-after-sons-beating-in-australia/articleshow/113793184.cms,Times of India,2024-09-30
03:25'Hezbollah Will Fight Long War': Nasrallah's Deputy Warns Israel In 1st Speech Since Killing | Watch,Arab Fighters Achieve Direct Hit Against IDF; Drones Explode Inside Israeli Base In Golan | Watch Hezbollah Military Chief Killed In Israeli Strike: Who Was Ibrahim Aqil? Iraqi Resistance's Big Message For Israel As IDF Bombards Lebanon | Watch,https://timesofindia.indiatimes.com/videos/international/hezbollah-will-fight-long-war-nasrallahs-deputy-warns-israel-in-1st-speech-since-killing-watch/videoshow/113820412.cms,Times of India,2024-09-30
03:25'Hezbollah Will Fight Long War': Nasrallah's Deputy Warns Israel In 1st Speech Since Killing | Watch,Arab Fighters Achieve Direct Hit Against IDF; Drones Explode Inside Israeli Base In Golan | Watch Hezbollah Military Chief Killed In Israeli Strike: Who Was Ibrahim Aqil? Iraqi Resistance's Big Message For Israel As IDF Bombards Lebanon | Watch,https://timesofindia.indiatimes.com/videos/international/hezbollah-will-fight-long-war-nasrallahs-deputy-warns-israel-in-1st-speech-since-killing-watch/videoshow/113820412.cms,Times of India,2024-09-30
"2nd Test, Day 4: India's batting lights up rain-hit B'desh clash","2nd Test, Day 1: B'desh 107/3 vs India on rain-shortened opening day Ashwin shines as India hammer Bangladesh in Chennai Test 1st Test, Day 3: India hold upper hand despite spirited Bangladesh chase",https://timesofindia.indiatimes.com/sports/cricket/bangladesh-in-india/2nd-test-day-4-highlights-records-tumble-as-indias-batting-lights-up-rain-hit-bangladesh-clash/articleshow/113819409.cms,Times of India,2024-09-30
'India are playing Bazball': Ex-England captain on hosts' quickfire innings in Kanpur Test,"The TOI Sports Desk excels in a myriad of roles that capture the essence of live sporting events and deliver compelling content to readers worldwide. From running live blogs for India and non-India cricket matches to global spectacles featuring Indian talents, like the Chess World Cup final featuring Praggnanandhaa and the Badminton World Championships semifinal featuring HS Prannoy, our live coverage extends to all mega sporting events. We extensively cover events like the Olympics, Asian Games, Cricket World Cups, FIFA World Cups, and more. The desk is also adept at writing comprehensive match reports and insightful post-match commentary, complemented by stats-based articles that provide an in-depth analysis of player performances and team dynamics. We track news wires for key stories, conduct exclusive player interviews in both text and video formats, and file content from print editions and reporters. We keep track of all viral stories, trending topics and produce our own copies on the subjects. We deliver accurate, engaging, and up-to-the-minute sports content, round the clock.Read More 2nd Test, Day 1: B'desh 107/3 vs India on rain-shortened opening day Ashwin shines as India hammer Bangladesh in Chennai Test",https://timesofindia.indiatimes.com/sports/cricket/bangladesh-in-india/india-are-playing-bazball-former-england-captain-on-hosts-quickfire-innings-against-bangladesh-in-kanpur-test/articleshow/113821407.cms,Times of India,2024-09-30
"Pant-Kohli hug after mix-up, Rohit's reaction caught on camera","The TOI Sports Desk excels in a myriad of roles that capture the essence of live sporting events and deliver compelling content to readers worldwide. From running live blogs for India and non-India cricket matches to global spectacles featuring Indian talents, like the Chess World Cup final featuring Praggnanandhaa and the Badminton World Championships semifinal featuring HS Prannoy, our live coverage extends to all mega sporting events. We extensively cover events like the Olympics, Asian Games, Cricket World Cups, FIFA World Cups, and more. The desk is also adept at writing comprehensive match reports and insightful post-match commentary, complemented by stats-based articles that provide an in-depth analysis of player performances and team dynamics. We track news wires for key stories, conduct exclusive player interviews in both text and video formats, and file content from print editions and reporters. We keep track of all viral stories, trending topics and produce our own copies on the subjects. We deliver accurate, engaging, and up-to-the-minute sports content, round the clock.Read More 2nd Test, Day 1: B'desh 107/3 vs India on rain-shortened opening day Ashwin shines as India hammer Bangladesh in Chennai Test",https://timesofindia.indiatimes.com/sports/cricket/bangladesh-in-india/rishabh-pant-virat-kohli-hug-after-mix-up-rohit-sharmas-reaction-caught-on-camera/articleshow/113817979.cms,Times of India,2024-09-30
